"","company_category_code","funded_year","raised_amount_usd"
"721","real_estate",2011,20000
"722","web",2007,1e+07
"723","ecommerce",1999,33200000
"724","software",2012,1750000
"725","health",2012,9e+06
"726","finance",2007,4920000
"727","finance",2013,3300000
"728","web",2012,10600000
"729","software",2011,450000
"730","photo_video",2013,2500000
"731","enterprise",2013,1600000
"732","mobile",2009,4600000
"733","travel",2011,10500000
"734","travel",2011,5e+06
"735","advertising",2012,1e+07
"736","software",2012,9e+06
"737","travel",2013,30300000
"738","enterprise",2013,NA
"739","web",2007,NA
"740","ecommerce",2012,2e+07
"741","pets",2011,30000
"742","cleantech",2012,9e+06
"743","cleantech",2013,29900000
"744","cleantech",2013,3.9e+07
"745","mobile",2013,3.1e+07
"746","software",2013,6500000
"747","software",2005,3e+07
"748","software",2008,5e+05
"749","software",2007,1500000
"750","cleantech",2011,75000
"751","messaging",2011,3350000
"752","games_video",2007,1.2e+07
"753","games_video",2007,1.2e+07
"754","web",2012,NA
"755","mobile",2011,NA
"756","software",2011,2e+06
"757","nonprofit",2013,5100000
"758","games_video",2012,7750000
"759","ecommerce",2011,1.2e+07
"760","software",2005,5e+06
"761","biotech",2010,14900000
"762","software",2011,8e+06
"763","ecommerce",2012,3500000
"764","software",2012,13300000
"765","search",2011,6e+06
"766","games_video",2012,11700000
"767","search",2013,6700000
"768","advertising",2013,9e+06
"769","advertising",2013,2e+07
"770","software",2013,1100000
"771","fashion",2012,3060000
"772","education",2013,5e+05
"773","software",2010,20000
"774","software",2008,5700000
"775","medical",2013,2e+06
"776","finance",2010,2.8e+07
"777","software",2012,8e+05
"778","hardware",2011,3500000
"779","software",2012,1e+06
"780","analytics",2011,1200000
"781","analytics",2013,1100000
"782","web",2013,125000
"783","biotech",2013,1e+05
"784","cleantech",2013,NA
"785","mobile",2012,5e+05
"786","advertising",2012,NA
"787","enterprise",2008,4900000
"788","advertising",2013,25011200
"789","advertising",2013,2e+06
"790","software",2004,7e+06
"791","biotech",2011,4e+06
"792","biotech",2009,5e+05
"793","manufacturing",2013,6e+05
"794","finance",2011,16600000
"795",NA,2005,1.7e+07
"796","advertising",2008,5.1e+07
"797","automotive",2009,5e+07
"798","automotive",2009,82500000
"799","web",2011,NA
"800","software",2013,6e+05
"801","consulting",2011,10500000
"802","mobile",2012,6e+06
"803","mobile",2011,1465920
"804","messaging",2008,NA
"805","automotive",2011,2e+08
"806","biotech",2007,1e+07
"807","biotech",2010,8e+06
"808","biotech",2010,1.8e+07
"809","analytics",2012,1.5e+07
"810","medical",2012,42500000
"811","analytics",2013,3.5e+07
"812","health",2013,7e+07
"813","cleantech",2013,25000
"814","enterprise",2009,47500000
"815","hardware",2008,18800000
"816","enterprise",2013,1e+07
"817","enterprise",2013,51600000
"818","health",2012,3e+06
"819","games_video",2009,3660000
"820","games_video",2010,NA
"821","security",2006,6e+06
"822","real_estate",2011,154000
"823","real_estate",2010,5e+05
"824","enterprise",2008,4900000
"825","mobile",2007,NA
"826","hardware",2011,4e+07
"827","social",2013,2.3e+07
"828","semiconductor",2011,6e+06
"829","analytics",2011,585000
"830","advertising",2007,1e+06
"831","web",2006,4e+06
"832","photo_video",2011,1800000
"833","mobile",2011,3e+06
"834","mobile",2012,1.1e+07
"835","web",2012,1e+06
"836","advertising",2013,5e+05
"837","enterprise",2013,1e+06
"838","mobile",2012,1.7e+07
"839","software",2012,4e+05
"840","semiconductor",2005,6.6e+07
"841","software",2013,7.2e+07
"842","software",2013,NA
"843","ecommerce",2012,5e+06
"844","search",2013,425000
"845","web",2012,31500000
"846","social",2012,2e+07
"847","public_relations",2007,NA
"848",NA,2008,7600000
"849","web",2007,3500000
"850","advertising",2008,6800000
"851","mobile",2000,2.6e+07
"852","enterprise",2008,2e+05
"853","network_hosting",2011,1e+06
"854","software",2007,4e+06
"855","analytics",2010,1290000
"856","health",2011,7.5e+07
"857","social",2011,4e+08
"858","search",2006,1500000
"859","software",2005,3e+07
"860","cleantech",2011,34100000
"861","hardware",2008,1.5e+07
"862","news",2010,1500000
"863","analytics",2012,450000
"864","enterprise",2013,NA
"865","enterprise",2008,NA
"866","finance",2001,9e+07
"867","search",2007,3e+07
"868","search",2004,7e+06
"869","search",2005,1.8e+07
"870","search",2008,2e+07
"871","web",2004,13500000
"872","web",2006,4500000
"873","ecommerce",2010,22500000
"874","enterprise",2010,9e+06
"875","enterprise",2011,6e+06
"876","enterprise",2011,1.5e+07
"877","fashion",2012,2e+05
"878","mobile",2013,3500000
"879","enterprise",2013,12100000
"880","mobile",2013,9500000
"881","games_video",2009,1.5e+07
"882","web",2007,1e+07
"883","health",2013,5e+06
"884","advertising",2013,9100000
"885","network_hosting",2008,17430000
"886","cleantech",2013,NA
"887","nanotech",2008,3e+08
"888","education",2009,7e+06
"889","software",2011,NA
"890","web",2007,8700000
"891","web",2010,368794
"892","enterprise",2008,2e+05
"893","software",2013,635000
"894","software",2013,1100000
"895","news",2010,1e+05
"896",NA,2006,1.5e+07
"897","cleantech",2013,1.5e+07
"898","software",2005,12200000
"899","software",2006,2480000
"900","software",2005,2550000
"901","biotech",2013,650000
"902","biotech",2013,1.5e+07
"903","ecommerce",2012,5600000
"904","advertising",2011,850000
"905","hardware",2007,13360000
"906","enterprise",2008,2.6e+07
"907","software",2009,1.5e+07
"908","hardware",2007,2e+07
"909","network_hosting",2011,2.4e+07
"910","enterprise",2009,NA
"911","other",2010,1e+07
"912","web",2011,40000
"913","advertising",2004,1e+05
"914","hardware",2007,13360000
"915","mobile",2013,3.1e+07
"916","cleantech",2013,1.2e+07
"917","cleantech",2013,1.6e+07
"918","security",2000,1.5e+07
"919","software",2010,12300000
"920","biotech",2013,5303380
"921",NA,2005,18500000
"922","semiconductor",2008,14500000
"923","web",2012,25000
"924","web",2012,25000
"925","web",2011,25000
"926","mobile",2011,25000
"927","ecommerce",2011,25000
"928","sports",2011,25000
"929","transportation",2011,25000
"930","web",2011,25000
"931","web",2012,25000
"932","photo_video",2012,25000
"933","travel",2012,25000
"934","web",2012,25000
"935","messaging",2012,25000
"936","web",2011,25000
"937","enterprise",2012,25000
"938","travel",2012,25000
"939","software",2012,25000
"940","enterprise",2012,25000
"941","web",2013,40000
"942","ecommerce",2013,40000
"943","web",2013,40000
"944","enterprise",2013,40000
"945","finance",2013,40000
"946","real_estate",2013,40000
"947","real_estate",2013,40000
"948","analytics",2013,40000
"949","web",2013,40000
"950","advertising",2013,40000
"951","advertising",2012,25000
"952","ecommerce",2013,40000
"953","advertising",2013,40000
"954","web",2013,40000
"955","web",2013,40000
"956","ecommerce",2013,40000
"957","web",2013,40000
"958","education",2013,40000
"959","software",2012,25000
"960","advertising",2011,25000
"961","semiconductor",2011,20500000
"962","enterprise",2013,1e+07
"963","real_estate",2011,4e+06
"964","web",2011,40000
"965","legal",2008,3e+05
"966","enterprise",2012,1e+06
"967","other",2000,1.5e+07
"968","security",2005,8e+05
"969","health",2011,1.9e+07
"970","mobile",2012,3e+06
"971","software",2008,8e+07
"972","software",2007,6.5e+07
"973","software",2010,20300000
"974","education",2009,250000
"975","finance",2011,NA
"976","enterprise",2012,1750000
"977","software",2013,3e+05
"978","nonprofit",2012,8e+05
"979","ecommerce",2010,15000
"980","ecommerce",2011,75000
"981","software",2010,15000
"982","cleantech",2010,15000
"983","games_video",2010,15000
"984","ecommerce",2011,25000
"985","advertising",2011,75000
"986","hospitality",2011,75000
"987","enterprise",2011,75000
"988","finance",2010,15000
"989","nonprofit",2010,15000
"990","analytics",2011,75000
"991","cleantech",2011,75000
